name,description,type,maxTakeoffWeight,maxFlightTime,manufacturer,releaseYear,maxRange,payloadCapacity,sensorType,ipRating
ZALA 421-16E,"разведывательный и поисковый дрон самолетного типа для мониторинга лесных пожаров, нефтепроводов и поисковых операций",fixed-wing,2.5,120,ZALA Aero Group,2015,50.0,1.0,"RGB,Thermal",IP54
ZALA 421-22,"гексакоптер, используемый для аэрофотосъемки и инспекций в труднодоступных районах",multirotor,1.8,30,ZALA Aero Group,2018,15.0,2.0,RGB,IP43
Fixar 007,"профессиональный БПЛА гибридного типа (сочетает преимущества самолета и квадрокоптера) для картографии, геодезии и доставки",hybrid,3.2,90,Fixar,2017,40.0,1.5,RGB,IP54
Fixar PRO,более тяжелая версия для продолжительного мониторинга,hybrid,5.0,150,Fixar,2019,60.0,3.0,"RGB,LiDAR",IP54
Альбатрос М5,"беспилотник самолетного типа, активно используется для сельскохозяйственного мониторинга, лесоохраны и геодезических работ",fixed-wing,4.1,180,Unmanned Russia,2016,80.0,2.0,RGB,IP54
Supercam SX350,"беспилотный самолет, предназначенный для аэрофотосъемки и лазерного сканирования",fixed-wing,3.5,120,Supercam,2014,100.0,1.0,RGB,IP54
Supercam X6M2,надежный мультикоптер для воздушной инспекции и фотограмметрии,multirotor,2.0,40,Supercam,2019,10.0,3.0,"RGB,Thermal",IP43
Аэромакс SH-350,"беспилотный вертолет, способный перевозить грузы массой до 120 кг, применяется в логистике и сельском хозяйстве",helicopter,150.0,45,Aeromax,2020,20.0,120.0,"RGB,Thermal",IP54
Синильга,"компактный дрон с защитой лопастей, разработанный специально для промышленных инспекций внутри зданий и сооружений",multirotor,0.8,20,Sinilga,2021,5.0,0.5,RGB,IP43
Геоскан 201,"флагманский беспилотник самолетного типа для масштабной аэрофотосъемки, создания 3D-моделей городов и геодезии",fixed-wing,5.5,150,Geoscan,2012,100.0,2.0,RGB,IP54
Геоскан 701,"промышленный самолет с возможностью установки лидара (лазерного сканера) для детального картирования тайги и карьеров",fixed-wing,8.0,180,Geoscan,2020,150.0,5.0,"RGB,LiDAR,Multispectral",IP54
Геоскан Пионер,"учебно-методический квадрокоптер, созданный для школ, вузов и соревнований по робототехнике",multirotor,0.3,15,Geoscan,2015,2.0,0.2,RGB,IP43
Геоскан Gemini,компактный двухчастотный дрон для оперативной фотосъемки строительных площадок,multirotor,1.2,25,Geoscan,2018,10.0,1.0,RGB,IP54
S-80,"серийный сельскохозяйственный гексакоптер с высокой степенью локализации, предназначенный для точечного внесения удобрений",multirotor,30.0,25,S-80 Agro,2021,5.0,20.0,Multispectral,IP67
АХД-6,"тяжелый агродрон с баком на 50 литров, обрабатывающий до 150 гектаров за одну рабочую смену",multirotor,60.0,20,AXD-6,2022,3.0,40.0,Multispectral,IP67
Клевер (Clover),"программируемый конструктор квадрокоптера, используемый в образовательных целях для обучения программированию на ROS",multirotor,0.4,12,Clover/Geoscan,2016,1.0,0.1,RGB,IP20
Пеликан,автономный коммерческий дрон для мониторинга территорий и доставки мелких грузов между объектами,multirotor,2.5,35,Pelican,2019,15.0,1.0,"RGB,Thermal",IP54
Орион-Х,"гражданская модификация тяжелого беспилотника большой продолжительности полета (MALE), создаваемая для лесоохраны и ледовой разведки в Арктике",fixed-wing,150.0,1440,Kronstadt,2018,1000.0,200.0,"RGB,Thermal,Radar",IP54
Орлан-30,"используется в гражданских целях для поиска людей, мониторинга ЛЭП, нефтепроводов и труднодоступной инфраструктуры",fixed-wing,5.0,180,Enics,2012,120.0,5.0,"RGB,Thermal",IP54
БАС-200,"беспилотная авиационная система вертолетного типа. Применяется для доставки грузов весом до 50 кг, геофизического мониторинга и поисково-спасательных работ в Арктике",helicopter,80.0,40,BAS-200,2020,30.0,50.0,"RGB,Thermal",IP54
БПЛА-400Т,компактный вертолетный дрон. Используется для экологического мониторинга и поиска людей в труднодоступной лесистой местности,helicopter,15.0,60,BPLA-400T,2018,20.0,10.0,"RGB,Thermal",IP54
Аист,"гибридный беспилотник (VTOL), разработанный для работы в суровых климатических условиях. Выполняет задачи по инспекции трубопроводов и доставке медицинских грузов в северных регионах",hybrid,12.0,90,Aist,2017,50.0,5.0,RGB,IP54
Элерон-7,"гражданская модификация легкого БПЛА самолетного типа. Применяется для оперативной дистанционной разведки недр, мониторинга лесных пожаров и охраны заповедников",fixed-wing,4.5,120,Enics,2010,50.0,3.0,"RGB,Thermal",IP54
БВС ВТ 440,"тяжелый беспилотный вертолет с грузоподъемностью до 100 кг. Предназначен для геологоразведки, доставки грузов на буровые платформы и мониторинга ледовой обстановки",helicopter,250.0,50,VT 440,2019,40.0,100.0,"RGB,Thermal",IP54
Астрон-4К,"мультикоптер со встроенным тепловизором и мощным оптическим зумом. Активно закупается службами охраны и МЧС для ночного патрулирования объектов ТЭК",multirotor,3.5,30,Astron,2020,10.0,2.0,Thermal,IP54
Optiplane S2,"компактный гибридный дрон-конвертоплан, совмещающий скорость самолета и вертикальный взлет коптера. Разработан специально для маркшейдерских работ на карьерах и 3D-картирования строек",hybrid,6.0,80,Optiplane,2018,60.0,2.0,RGB,IP54
Smartplane XV,"беспилотник самолетного типа с дальностью передачи HD-видео до 50 км. Используется для непрерывного воздушного наблюдения, охраны протяженных периметров и линейных объектов",fixed-wing,5.0,150,Smartplane,2017,80.0,3.0,RGB,IP54
Seadrone ME,"уникальный гибридный дрон-амфибия, способный садиться на воду при волнах до 2 метров и взлетать с нее. Работает при температурах от -30 до +50 °C, используется Газпромом для ледовой разведки в Карском море",hybrid,8.0,120,Seadrone,2021,50.0,5.0,"RGB,Thermal",IP67
Агромакс-30,"промышленный мультикоптер для точного земледелия. Используется для ультрамалообъемного опрыскивания полей, оборудован системой обхода препятствий на базе лидара",multirotor,35.0,22,Agromax,2020,5.0,20.0,Multispectral,IP67
